Title
ArXiv Declares Independence from Cornell
science.org
Google details new 24-hour process to sideload unverified Android apps
arstechnica.com
FSF Threatens Anthropic over Infringed Copyright: Share Your LLMs Freel
fsf.org
Push events into a running session with channels
claude.com
Full Disclosure: A Third (and Fourth) Azure Sign-In Log Bypass Found
trustedsec.com
Building a Reader for the Smallest Hard Drive
willwhang.dev
Drugwars for the TI-82/83/83 Calculators (2011)
gist.github.com
Cockpit is a web-based graphical interface for servers
github.com/cockpit-project
Return of the Obra Dinn: spherical mapped dithering for a 1bpp first-person game
tigsource.com
How the Turner twins are mythbusting modern technical apparel
carryology.com
Show HN: Three new Kitten TTS models – smallest less than 25MB
github.com/kittenml
A Journey Through Infertility
pudding.cool
4Chan mocks £520k fine for UK online safety breaches
bbc.com
Noq: n0's new QUIC implementation in Rust
iroh.computer
Astral to Join OpenAI
astral.sh
FSFE supporters affected: Payment provider Nexi cancelled us
fsfe.org
Clockwise acquired by Salesforce
getclockwise.com
How many branches can your CPU predict?
lemire.me
Launch HN: Voltair (YC W26) – Drone and charging network for power utilities
Be intentional about how AI changes your codebase
swerdlow.dev
Drawvg Filter for FFmpeg
ayosec.github.io
Scaling Karpathy's Autoresearch: What Happens When the Agent Gets a GPU Cluster
skypilot.co
"Linux Page Faults, MMAP, and userfaultfd for faster VM boots"
shayon.dev
NanoGPT Slowrun: 10x Data Efficiency with Infinite Compute
qlabs.sh
OpenBSD: PF queues break the 4 Gbps barrier
undeadly.org
From Oscilloscope to Wireshark: A UDP Story (2022)
mattkeeter.com
Last love: a romance in a care home (2023)
theguardian.com
Waymo Safety Impact
waymo.com
Launch HN: Canary (YC W26) – AI QA that understands your code
Bombarding gamblers with offers greatly increases betting and gambling harm
bristol.ac.uk
